country,x,y
Ireland,-467,76
France,-344,-149
Germany,-161,-36
Spain,-491,-335
Portugal,-595,-328
Andorra,-366,-279
Monaco,-265,-269
Italy,-140,-249
Vatican City,-145,-298
Greece,119,-400
Croatia,-44,-236
Albania,67,-313
North Macadonia,104,-312
Bulgaria,172,-269
Romania,157,-171
Ukraine,258,-36
Belarus,168,64
Russia,313,180
Estonia,100,222
Latvia,108,172
Lithuania,96,114
Poland,15,14
Czech Republic,-53,-63
Austria,-70,-136
Switzerland,-211,-152
Luxembourg,-244,-60
Belgium,-270,-27
Netherlands,-244,24
Denmark,-167,138
Finland,74,325
Norway,-172,262
Sweden,-67,241
United Kingdom,-374,41
Hungary,31,-144
Slovenia,-69,-183
Serbia,77,-239
Bosnia and Herzegowina,15,-253
Moldova,228,-108
Cyprus,399,-445
Iceland,-451,401
Montenegro,44,-279
Slovakia,42,-89